"commentText","hasReplies","numberOfReplies","replies.id","replies.user","replies.date","replies.timestamp","replies.commentText","replies.likes"
"Bernardo P. K??ster no The Noite","false","0","","","","","",""
"""Democracia...""","false","0","","","","","",""
"4 anos depois... o STF barra o voto impresso que j?? estava aprovado por maioria esmagadora no Congresso!!! :/","false","0","","","","","",""
"Estamos em 2018 e o problema continua o mesmo","false","0","","","","","",""
"Faz nova entrevista com ele Danilo, abra os olhos da popula????o cega por favor...","true","12","","","","","",""
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hICQGSam7H","rafael","1 day ago","1528674525864","L.S.F Brasil isso","2"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hIV0jNW_iA","Wagner Souza","1 day ago","1528674525867","Apoiado!","1"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hIkdYHDvQP","Vit??ria Campos","1 day ago","1528674525870","up","1"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hIoA7uKhvd","HZTYRR","1 day ago","1528674525876","Up","1"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hJXiZqQI0M","Bruno Barroso","1 day ago","1528674525879","Up","2"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hJrw9lLPdn","Ld Hunter","1 day ago","1528674525886","L.S.F Brasil up","1"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hK8M7YYkqB","Aperto o play","1 day ago","1528674525888","Up","1"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hKCgRkUHKl","jos?? eduardo moraes borba","1 day ago","1528674525892","Apoiado","1"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hKF0uS0yj-","Gustavo Silva","1 day ago","1528674525898","UP UP UP perfeita essa entrevista !","0"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hK_MxW1BBO","Thibes Sobrinho","1 day ago","1528674525900","https://youtu.be/HQ1mhN0PP0g","0"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hKl6z8Mysv","My Pets Nanny","23 hours ago","1528678125909","Apoiado","0"
"","","","UgzhParCTCrhC9Uijhx4AaABAg.8hHZefXWUQy8hMDW28BFPw","Eliasafe Costa","10 hours ago","1528724925911","Up","0"
"Vim pelo NANDO MOURA SELOCOMEL","false","0","","","","","",""
"#nandomoura "
"Nando me trouxe aqui","false","0","","","","","",""
"Esta entrevista foi feita em 2014. "
"Urnas fraudadas"
"Urnas fraudadas"
